TASK ID              | TRUTH      | AI         | SCORE    | CONF     | CERT_TIER    | STATUS
UK09 (Crop)          | Active     | Active     | 66.2%    | 91.06%   | Very High    | ✅ MATCH
UK10 (Crop)          | Active     | Active     | 97.23%   | 91.7%    | Very High    | ✅ MATCH
PB11 (No-Crop)       | Inactive   | Inactive   | 0.82%    | 84.22%   | Very High    | ✅ MATCH
PB12 (Crop)          | Active     | Active     | 76.16%   | 96.41%   | Very High    | ✅ MATCH
PB13 (Crop)          | Active     | Active     | 81.04%   | 97.06%   | Very High    | ✅ MATCH
PB14 (Crop)          | Active     | Active     | 74.45%   | 95.13%   | Very High    | ✅ MATCH
PB15 (No-Crop)       | Inactive   | Inactive   | 0.0%     | 57.19%   | Moderate     | ✅ MATCH
PB16 (Crop)          | Active     | Active     | 78.57%   | 98.25%   | Very High    | ✅ MATCH
PB17 (Crop)          | Active     | Active     | 86.26%   | 95.15%   | Very High    | ✅ MATCH
PB18 (Crop)          | Active     | Active     | 81.42%   | 96.83%   | Very High    | ✅ MATCH
PB19 (Crop)          | Active     | Active     | 93.13%   | 96.57%   | Very High    | ✅ MATCH
PB20 (Crop)          | Active     | Active     | 87.16%   | 97.6%    | Very High    | ✅ MATCH
TN11 (Crop)          | Active     | Active     | 85.67%   | 88.32%   | Very High    | ✅ MATCH
TN12 (No-Crop)       | Inactive   | Inactive   | 5.16%    | 46.76%   | Low          | ✅ MATCH
TN13 (No-Crop)       | Inactive   | Inactive   | 2.87%    | 45.41%   | Low          | ✅ MATCH
TN14 (Crop)          | Active     | Active     | 100.0%   | 93.86%   | Very High    | ✅ MATCH
TN15 (Crop)          | Active     | Active     | 100.0%   | 88.98%   | Very High    | ✅ MATCH
TN16 (Crop)          | Active     | Active     | 46.93%   | 89.35%   | Very High    | ✅ MATCH
TN17 (Crop)          | Active     | Active     | 77.08%   | 86.8%    | Very High    | ✅ MATCH
TN18 (No-Crop)       | Inactive   | Inactive   | 0.0%     | 99.47%   | Very High    | ✅ MATCH
TN19 (Crop)          | Active     | Active     | 88.37%   | 85.39%   | Very High    | ✅ MATCH
TN20 (No-Crop)       | Inactive   | Inactive   | 0.0%     | 92.73%   | Very High    | ✅ MATCH

==============================
OVERALL ACCURACY: 92.48%
REVIEW CASES: 0
==============================
